id_cp_interaction	CellType_a	CellType_b	gene_a	gene_b	expValues_a	expValues_b	pValue	mean	significant_mean	annotation_strategy	interacting_pair	Ligand	Receptor	top50的significant_mean的编号
CPI-SS0C4E86714	Th2	DC-like Monocytes	TNFRSF1B	GRN	0.592	1.392	0	0.992	0.992	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS09808DEAE	Th2	FCN1+VCAN+IL1Bhigh Monocytes	CD74	APP	1.704	0.274	0	0.989	0.989	curated	CD74_APP	CD74	APP	8
CPI-SS0073098F3	Th2	CD163+CD16A+CCL18+ Monocytes	IL13	TMEM219	1.237	0.738	0	0.988	0.988	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0C4E86714	Th2	Langerhans cells	TNFRSF1B	GRN	0.592	1.375	0	0.984	0.984	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS06B86672A	Th2	Keratinocyte 6	CD44	FGFR2	1.712	0.252	0	0.982	0.982	InnateDB-All	CD44_FGFR2	CD44	FGFR2	23
CPI-SS0632A027A	Th2	Keratinocyte 6	CD44	HBEGF	1.712	0.249	0	0.981	0.981	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS01560CA22	Th2	Langerhans cells	CD99	PILRA	1.83	0.13	0	0.98	0.98	curated	CD99_PILRA	CD99	PILRA	21
CPI-SS09808DEAE	Th2	DC-like Monocytes	CD74	APP	1.704	0.255	0	0.979	0.979	curated	CD74_APP	CD74	APP	8
CPI-SS06CCF5A54	Th2	APOE+CD9+ Monocytes	ANXA1	FPR3	1.843	0.111	0	0.977	0.977	curated	ANXA1_FPR3	ANXA1	FPR3	20
CPI-SS0302E8E8F	Th2	Keratinocyte 2	CD74	COPA	1.704	0.251	0	0.977	0.977	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0302E8E8F	Th2	Keratinocyte 5	CD74	COPA	1.704	0.25	0	0.977	0.977	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS06B86672A	Th2	Keratinocyte CCL2- Cluster3	CD44	FGFR2	1.712	0.241	0	0.977	0.977	InnateDB-All	CD44_FGFR2	CD44	FGFR2	23
CPI-SS00B1BEE64	Th2	CD1C+CLEC10A+IL1Blow DC	CD2	CD58	1.172	0.78	0	0.976	0.976	curated	CD2_CD58	CD2	CD58	29
CPI-SS0302E8E8F	Th2	NK and gdT	CD74	COPA	1.704	0.247	0	0.976	0.976	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS06B86672A	Th2	Fibroblast 1	CD44	FGFR2	1.712	0.237	0	0.974	0.974	InnateDB-All	CD44_FGFR2	CD44	FGFR2	23
CPI-SS0302E8E8F	Th2	APOE+CD9+ Monocytes	CD74	COPA	1.704	0.242	0	0.973	0.973	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS06CCF5A54	Th2	Proliferating T	ANXA1	FPR3	1.843	0.101	0	0.972	0.972	curated	ANXA1_FPR3	ANXA1	FPR3	20
CPI-SS09808DEAE	Th2	Th2	CD74	APP	1.704	0.241	0	0.972	0.972	curated	CD74_APP	CD74	APP	8
CPI-SS0302E8E8F	Th2	CD1C+CLEC10A+IL1Blow DC	CD74	COPA	1.704	0.238	0	0.971	0.971	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS09808DEAE	Th2	CD163+CD16A+CCL18+ Monocytes	CD74	APP	1.704	0.236	0	0.97	0.97	curated	CD74_APP	CD74	APP	8
CPI-SS01560CA22	Th2	CD1C+CLEC10A+IL1Blow DC	CD99	PILRA	1.83	0.109	0	0.969	0.969	curated	CD99_PILRA	CD99	PILRA	21
CPI-SS06B86672A	Th2	APOE+CD9+ Monocytes	CD44	FGFR2	1.712	0.224	0	0.968	0.968	InnateDB-All	CD44_FGFR2	CD44	FGFR2	23
CPI-SS0073098F3	Th2	APOE+CD9+ Monocytes	IL13	TMEM219	1.237	0.696	0	0.967	0.967	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0703338F5	Th2	FCN1+VCAN+IL1Bhigh Monocytes	LGALS9	CD44	0.117	1.814	0	0.965	0.965	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0073098F3	Th2	DC-like Monocytes	IL13	TMEM219	1.237	0.689	0	0.963	0.963	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0302E8E8F	Th2	Keratinocyte CCL2- Cluster3	CD74	COPA	1.704	0.221	0	0.963	0.963	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0F739D3DB	Th2	Langerhans cells	ANXA1	FPR1	1.843	0.082	0	0.963	0.963	guidetopharmacology.org	ANXA1_FPR1	ANXA1	FPR1	14
CPI-SS0302E8E8F	Th2	DC-like Monocytes	CD74	COPA	1.704	0.218	0	0.961	0.961	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0302E8E8F	Th2	Effector CD8 T	CD74	COPA	1.704	0.219	0	0.961	0.961	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0073098F3	Th2	Keratinocyte 2	IL13	TMEM219	1.237	0.686	0	0.961	0.961	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0302E8E8F	Th2	CD163+CD16A+CCL18+ Monocytes	CD74	COPA	1.704	0.214	0	0.959	0.959	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS06B86672A	Th2	Keratinocyte CCL2+ Cluster3	CD44	FGFR2	1.712	0.201	0	0.957	0.957	InnateDB-All	CD44_FGFR2	CD44	FGFR2	23
CPI-SS0632A027A	Th2	CD1C+CLEC10A+IL1Blow DC	CD44	HBEGF	1.712	0.2	0	0.956	0.956	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS0632A027A	Th2	Keratinocyte CCL2+ Cluster3	CD44	HBEGF	1.712	0.198	0	0.955	0.955	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS0302E8E8F	Th2	Keratinocyte 1	CD74	COPA	1.704	0.203	0	0.954	0.954	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0F739D3DB	Th2	APOE+CD9+ Monocytes	ANXA1	FPR1	1.843	0.062	0	0.952	0.952	guidetopharmacology.org	ANXA1_FPR1	ANXA1	FPR1	14
CPI-SS0302E8E8F	Th2	Keratinocyte 0	CD74	COPA	1.704	0.199	0	0.952	0.952	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0302E8E8F	Th2	Keratinocyte 6	CD74	COPA	1.704	0.201	0	0.952	0.952	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0302E8E8F	Th2	Keratinocyte CCL2+ Cluster3	CD74	COPA	1.704	0.2	0	0.952	0.952	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS09808DEAE	Th2	CD1C+CLEC10A+IL1Bhigh DC	CD74	APP	1.704	0.199	0	0.951	0.951	curated	CD74_APP	CD74	APP	8
CPI-SS0632A027A	Th2	Keratinocyte 0	CD44	HBEGF	1.712	0.189	0.01	0.951	0.951	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS0073098F3	Th2	Keratinocyte 5	IL13	TMEM219	1.237	0.665	0	0.951	0.951	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0073098F3	Th2	Treg	IL13	TMEM219	1.237	0.665	0	0.951	0.951	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0302E8E8F	Th2	FCN1+VCAN+IL1Bhigh Monocytes	CD74	COPA	1.704	0.196	0	0.95	0.95	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0703338F5	Th2	Keratinocyte 5	LGALS9	CD44	0.117	1.778	0	0.948	0.948	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0302E8E8F	Th2	Memory CD4 T	CD74	COPA	1.704	0.192	0	0.948	0.948	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS06B86672A	Th2	Keratinocyte 0	CD44	FGFR2	1.712	0.181	0	0.946	0.946	InnateDB-All	CD44_FGFR2	CD44	FGFR2	23
CPI-SS0632A027A	Th2	Keratinocyte CCL2- Cluster3	CD44	HBEGF	1.712	0.179	0.01	0.945	0.945	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS06B86672A	Th2	Keratinocyte 2	CD44	FGFR2	1.712	0.16	0.01	0.936	0.936	InnateDB-All	CD44_FGFR2	CD44	FGFR2	23
CPI-SS06B86672A	Th2	Fibroblast 6	CD44	FGFR2	1.712	0.157	0	0.934	0.934	InnateDB-All	CD44_FGFR2	CD44	FGFR2	23
CPI-SS0632A027A	Th2	Fibroblast 6	CD44	HBEGF	1.712	0.155	0.05	0.933	0.933	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS09808DEAE	Th2	Proliferating T	CD74	APP	1.704	0.151	0	0.928	0.928	curated	CD74_APP	CD74	APP	8
CPI-SS09808DEAE	Th2	Memory CD4 T	CD74	APP	1.704	0.142	0	0.923	0.923	curated	CD74_APP	CD74	APP	8
CPI-SS09808DEAE	Th2	NK and gdT	CD74	APP	1.704	0.142	0	0.923	0.923	curated	CD74_APP	CD74	APP	8
CPI-SS00B1BEE64	Th2	Langerhans cells	CD2	CD58	1.172	0.667	0	0.92	0.92	curated	CD2_CD58	CD2	CD58	29
CPI-SS0073098F3	Th2	Keratinocyte 0	IL13	TMEM219	1.237	0.594	0	0.916	0.916	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0073098F3	Th2	Keratinocyte CCL2+ Cluster3	IL13	TMEM219	1.237	0.59	0	0.914	0.914	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0703338F5	Th2	Th2	LGALS9	CD44	0.117	1.712	0	0.914	0.914	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0073098F3	Th2	Keratinocyte 6	IL13	TMEM219	1.237	0.579	0	0.908	0.908	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0073098F3	Th2	pDC and Mast	IL13	TMEM219	1.237	0.564	0	0.901	0.901	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0C4E86714	Th2	FCN1+VCAN+IL1Bhigh Monocytes	TNFRSF1B	GRN	0.592	1.208	0	0.9	0.9	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS0073098F3	Th2	Fibroblast 6	IL13	TMEM219	1.237	0.563	0	0.9	0.9	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0073098F3	Th2	Fibroblast 0	IL13	TMEM219	1.237	0.559	0	0.898	0.898	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0073098F3	Th2	Fibroblast 1	IL13	TMEM219	1.237	0.552	0	0.894	0.894	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0CE693E3E	Th2	Keratinocyte 7	LGALS9	P4HB	0.117	1.671	0	0.894	0.894	curated	LGALS9_P4HB	LGALS9	P4HB	30
CPI-SS0073098F3	Th2	Keratinocyte 1	IL13	TMEM219	1.237	0.545	0	0.891	0.891	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS00B1BEE64	Th2	CD1C+CLEC10A+IL1Bhigh DC	CD2	CD58	1.172	0.608	0	0.89	0.89	curated	CD2_CD58	CD2	CD58	29
CPI-SS0419B80C4	Th2	Fibroblast 1	LGALS9	LRP1	0.117	1.664	0	0.89	0.89	InnateDB-All	LGALS9_LRP1	LGALS9	LRP1	31
CPI-SS0A84B95C5	Th2	Keratinocyte 1	NR3C1	CCL2	0.806	0.966	0	0.886	0.886	InnateDB	NR3C1_CCL2	NR3C1	CCL2	15
CPI-SS0E7D5974D	Th2	Treg	TNF	TNFRSF1B	0.439	1.333	0	0.886	0.886	curated	TNF_TNFRSF1B	TNF	TNFRSF1B	32
CPI-SS00F282936	Th2	CD1C+CLEC10A+IL1Blow DC	CXCR6	CXCL16	0.469	1.287	0	0.878	0.878	curated	CXCR6_CXCL16	CXCR6	CXCL16	33
CPI-SS092E57263	Th2	Langerhans cells	CSF2	CSF1R	0.394	1.359	0	0.877	0.877	guidetopharmacology.org	CSF2_CSF1R	CSF2	CSF1R	34
CPI-SS0735F5C3A	Th2	Keratinocyte 1	TIMP1	FGFR2	1.237	0.513	0	0.875	0.875	InnateDB-All	TIMP1_FGFR2	TIMP1	FGFR2	35
CPI-SS0073098F3	Th2	Keratinocyte CCL2- Cluster3	IL13	TMEM219	1.237	0.504	0	0.87	0.87	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0073098F3	Th2	Proliferating T	IL13	TMEM219	1.237	0.496	0	0.866	0.866	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0073098F3	Th2	Keratinocyte 7	IL13	TMEM219	1.237	0.482	0	0.859	0.859	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0EF1A7415	Th2	CD1C+CLEC10A+IL1Blow DC	CCR4	CCL17	0.299	1.417	0	0.858	0.858	curated	CCR4_CCL17	CCR4	CCL17	36
CPI-SS0C4E86714	Th2	Keratinocyte 7	TNFRSF1B	GRN	0.592	1.122	0	0.857	0.857	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS00B1BEE64	Th2	Treg	CD2	CD58	1.172	0.54	0	0.856	0.856	curated	CD2_CD58	CD2	CD58	29
CPI-SS0703338F5	Th2	Treg	LGALS9	CD44	0.117	1.584	0.05	0.851	0.851	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0CE693E3E	Th2	Keratinocyte 5	LGALS9	P4HB	0.117	1.581	0	0.849	0.849	curated	LGALS9_P4HB	LGALS9	P4HB	30
CPI-SS0C4E86714	Th2	Keratinocyte 5	TNFRSF1B	GRN	0.592	1.104	0	0.848	0.848	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS0073098F3	Th2	NK and gdT	IL13	TMEM219	1.237	0.448	0	0.843	0.843	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0703338F5	Th2	Fibroblast 1	LGALS9	CD44	0.117	1.566	0	0.841	0.841	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0703338F5	Th2	Keratinocyte CCL2+ Cluster3	LGALS9	CD44	0.117	1.563	0	0.84	0.84	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0C4E86714	Th2	APOE+CD9+ Monocytes	TNFRSF1B	GRN	0.592	1.07	0	0.831	0.831	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS0A84B95C5	Th2	Fibroblast 6	NR3C1	CCL2	0.806	0.855	0	0.831	0.831	InnateDB	NR3C1_CCL2	NR3C1	CCL2	15
CPI-SS0703338F5	Th2	CD1C+CLEC10A+IL1Bhigh DC	LGALS9	CD44	0.117	1.542	0	0.829	0.829	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0703338F5	Th2	DC-like Monocytes	LGALS9	CD44	0.117	1.535	0.05	0.826	0.826	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0073098F3	Th2	Th2	IL13	TMEM219	1.237	0.416	0	0.826	0.826	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0703338F5	Th2	APOE+CD9+ Monocytes	LGALS9	CD44	0.117	1.53	0.02	0.823	0.823	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0073098F3	Th2	Memory CD4 T	IL13	TMEM219	1.237	0.405	0	0.821	0.821	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0703338F5	Th2	Fibroblast 6	LGALS9	CD44	0.117	1.524	0	0.82	0.82	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0703338F5	Th2	Keratinocyte 1	LGALS9	CD44	0.117	1.512	0	0.815	0.815	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0419B80C4	Th2	Fibroblast 0	LGALS9	LRP1	0.117	1.511	0	0.814	0.814	InnateDB-All	LGALS9_LRP1	LGALS9	LRP1	31
CPI-SS0E292C126	Th2	Th2	KLRB1	CLEC2D	1.079	0.539	0	0.809	0.809	curated	KLRB1_CLEC2D	KLRB1	CLEC2D	37
CPI-SS0E292C126	Th2	Effector CD8 T	KLRB1	CLEC2D	1.079	0.531	0	0.805	0.805	curated	KLRB1_CLEC2D	KLRB1	CLEC2D	37
CPI-SS0E292C126	Th2	Treg	KLRB1	CLEC2D	1.079	0.51	0	0.794	0.794	curated	KLRB1_CLEC2D	KLRB1	CLEC2D	37
CPI-SS0703338F5	Th2	Keratinocyte 0	LGALS9	CD44	0.117	1.469	0	0.793	0.793	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS00B1BEE64	Th2	Proliferating T	CD2	CD58	1.172	0.412	0	0.792	0.792	curated	CD2_CD58	CD2	CD58	29
CPI-SS0703338F5	Th2	Keratinocyte 2	LGALS9	CD44	0.117	1.465	0	0.791	0.791	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS0C4E86714	Th2	Keratinocyte 2	TNFRSF1B	GRN	0.592	0.99	0	0.791	0.791	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS0D4C221B8	Th2	CD1C+CLEC10A+IL1Bhigh DC	ICAM1	AREG	0.244	1.337	0	0.79	0.79	InnateDB-All	ICAM1_AREG	ICAM1	AREG	16
CPI-SS0CE693E3E	Th2	Keratinocyte 2	LGALS9	P4HB	0.117	1.463	0	0.79	0.79	curated	LGALS9_P4HB	LGALS9	P4HB	30
CPI-SS00B1BEE64	Th2	DC-like Monocytes	CD2	CD58	1.172	0.397	0	0.785	0.785	curated	CD2_CD58	CD2	CD58	29
CPI-SS0073098F3	Th2	Effector CD8 T	IL13	TMEM219	1.237	0.332	0	0.785	0.785	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS07D9A48A2	Th2	Treg	LTA	TNFRSF1B	0.227	1.333	0	0.78	0.78	curated	LTA_TNFRSF1B	LTA	TNFRSF1B	38
CPI-SS0C4E86714	Th2	Keratinocyte 1	TNFRSF1B	GRN	0.592	0.953	0	0.773	0.773	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS0A84B95C5	Th2	Keratinocyte 6	NR3C1	CCL2	0.806	0.729	0	0.768	0.768	InnateDB	NR3C1_CCL2	NR3C1	CCL2	15
CPI-SS0CE693E3E	Th2	Keratinocyte CCL2+ Cluster3	LGALS9	P4HB	0.117	1.411	0	0.764	0.764	curated	LGALS9_P4HB	LGALS9	P4HB	30
CPI-SS0A2949959	Th2	CD163+CD16A+CCL18+ Monocytes	ICAM3	CD209	1.014	0.513	0	0.763	0.763	curated	ICAM3_CD209	ICAM3	CD209	39
CPI-SS0D4C221B8	Th2	DC-like Monocytes	ICAM1	AREG	0.244	1.258	0	0.751	0.751	InnateDB-All	ICAM1_AREG	ICAM1	AREG	16
CPI-SS0E292C126	Th2	Proliferating T	KLRB1	CLEC2D	1.079	0.422	0	0.75	0.75	curated	KLRB1_CLEC2D	KLRB1	CLEC2D	37
CPI-SS00B1BEE64	Th2	Th2	CD2	CD58	1.172	0.323	0	0.747	0.747	curated	CD2_CD58	CD2	CD58	29
CPI-SS00B1BEE64	Th2	APOE+CD9+ Monocytes	CD2	CD58	1.172	0.317	0	0.745	0.745	curated	CD2_CD58	CD2	CD58	29
CPI-SS0735F5C3A	Th2	Keratinocyte 6	TIMP1	FGFR2	1.237	0.252	0	0.745	0.745	InnateDB-All	TIMP1_FGFR2	TIMP1	FGFR2	35
CPI-SS00B1BEE64	Th2	NK and gdT	CD2	CD58	1.172	0.318	0	0.745	0.745	curated	CD2_CD58	CD2	CD58	29
CPI-SS00B1BEE64	Th2	FCN1+VCAN+IL1Bhigh Monocytes	CD2	CD58	1.172	0.312	0	0.742	0.742	curated	CD2_CD58	CD2	CD58	29
CPI-SS0F3D40856	Th2	CD1C+CLEC10A+IL1Blow DC	PGRMC2	CCL4L2	0.104	1.376	0	0.74	0.74	IMEx,IntAct	PGRMC2_CCL4L2	PGRMC2	CCL4L2	25
CPI-SS0735F5C3A	Th2	Keratinocyte CCL2- Cluster3	TIMP1	FGFR2	1.237	0.241	0	0.739	0.739	InnateDB-All	TIMP1_FGFR2	TIMP1	FGFR2	35
CPI-SS0735F5C3A	Th2	Fibroblast 1	TIMP1	FGFR2	1.237	0.237	0	0.737	0.737	InnateDB-All	TIMP1_FGFR2	TIMP1	FGFR2	35
CPI-SS0E292C126	Th2	Memory CD4 T	KLRB1	CLEC2D	1.079	0.39	0	0.734	0.734	curated	KLRB1_CLEC2D	KLRB1	CLEC2D	37
CPI-SS0735F5C3A	Th2	APOE+CD9+ Monocytes	TIMP1	FGFR2	1.237	0.224	0	0.73	0.73	InnateDB-All	TIMP1_FGFR2	TIMP1	FGFR2	35
CPI-SS0F3D40856	Th2	CD1C+CLEC10A+IL1Bhigh DC	PGRMC2	CCL4L2	0.104	1.355	0	0.73	0.73	IMEx,IntAct	PGRMC2_CCL4L2	PGRMC2	CCL4L2	25
CPI-SS0DBA4D668	Th2	Fibroblast 6	DPP4	CXCL12	0.166	1.289	0	0.728	0.728	curated	DPP4_CXCL12	DPP4	CXCL12	5
CPI-SS00B1BEE64	Th2	Effector CD8 T	CD2	CD58	1.172	0.279	0	0.725	0.725	curated	CD2_CD58	CD2	CD58	29
CPI-SS0C4E86714	Th2	Fibroblast 1	TNFRSF1B	GRN	0.592	0.847	0	0.72	0.72	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS0735F5C3A	Th2	Keratinocyte CCL2+ Cluster3	TIMP1	FGFR2	1.237	0.201	0	0.719	0.719	InnateDB-All	TIMP1_FGFR2	TIMP1	FGFR2	35
CPI-SS052C9BB74	Th2	Langerhans cells	NR3C1	CXCL8	0.806	0.629	0	0.718	0.718	I2D,InnateDB	NR3C1_CXCL8	NR3C1	CXCL8	3
CPI-SS0C4E86714	Th2	Keratinocyte CCL2+ Cluster3	TNFRSF1B	GRN	0.592	0.839	0	0.716	0.716	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS0B0E09B1C	Th2	Langerhans cells	CTLA4	CD86	0.526	0.903	0	0.714	0.714	curated	CTLA4_CD86	CTLA4	CD86	40
CPI-SS061A7E099	Th2	Effector CD8 T	CD55	ADGRE5	0.515	0.909	0	0.712	0.712	curated	CD55_ADGRE5	CD55	ADGRE5	41
CPI-SS0C4E86714	Th2	Keratinocyte 0	TNFRSF1B	GRN	0.592	0.828	0	0.71	0.71	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS077D7365D	Th2	Langerhans cells	CD28	CD86	0.517	0.903	0	0.71	0.71	curated	CD28_CD86	CD28	CD86	42
CPI-SS0735F5C3A	Th2	Keratinocyte 0	TIMP1	FGFR2	1.237	0.181	0	0.709	0.709	InnateDB-All	TIMP1_FGFR2	TIMP1	FGFR2	35
CPI-SS0A76A8E97	Th2	FCN1+VCAN+IL1Bhigh Monocytes	HLA-F	LILRB2	0.775	0.634	0	0.705	0.705	curated	HLA-F_LILRB2	HLA-F	LILRB2	43
CPI-SS061A7E099	Th2	NK and gdT	CD55	ADGRE5	0.515	0.896	0	0.705	0.705	curated	CD55_ADGRE5	CD55	ADGRE5	41
CPI-SS028784FC6	Th2	Effector CD8 T	HLA-DPA1	TNFSF9	0.531	0.876	0	0.704	0.704	InnateDB-All	HLA-DPA1_TNFSF9	HLA-DPA1	TNFSF9	44
CPI-SS00B1BEE64	Th2	Keratinocyte 2	CD2	CD58	1.172	0.232	0	0.702	0.702	curated	CD2_CD58	CD2	CD58	29
CPI-SS0735F5C3A	Th2	Keratinocyte 2	TIMP1	FGFR2	1.237	0.16	0	0.699	0.699	InnateDB-All	TIMP1_FGFR2	TIMP1	FGFR2	35
CPI-SS0D4C221B8	Th2	FCN1+VCAN+IL1Bhigh Monocytes	ICAM1	AREG	0.244	1.15	0	0.697	0.697	InnateDB-All	ICAM1_AREG	ICAM1	AREG	16
CPI-SS0735F5C3A	Th2	Fibroblast 6	TIMP1	FGFR2	1.237	0.157	0	0.697	0.697	InnateDB-All	TIMP1_FGFR2	TIMP1	FGFR2	35
CPI-SS0C4E86714	Th2	Fibroblast 6	TNFRSF1B	GRN	0.592	0.8	0	0.696	0.696	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS03F821467	Th2	Keratinocyte 2	CD96	NECTIN1	0.676	0.707	0	0.692	0.692	curated	CD96_NECTIN1	CD96	NECTIN1	45
CPI-SS0A84B95C5	Th2	Fibroblast 1	NR3C1	CCL2	0.806	0.576	0	0.691	0.691	InnateDB	NR3C1_CCL2	NR3C1	CCL2	15
CPI-SS052C9BB74	Th2	APOE+CD9+ Monocytes	NR3C1	CXCL8	0.806	0.573	0	0.69	0.69	I2D,InnateDB	NR3C1_CXCL8	NR3C1	CXCL8	3
CPI-SS0FBFBF63E	Th2	DC-like Monocytes	NR3C1	IL10	0.806	0.572	0	0.689	0.689	InnateDB-All	NR3C1_IL10	NR3C1	IL10	46
CPI-SS00B1BEE64	Th2	Keratinocyte 5	CD2	CD58	1.172	0.204	0	0.688	0.688	curated	CD2_CD58	CD2	CD58	29
CPI-SS0CE693E3E	Th2	Keratinocyte CCL2- Cluster3	LGALS9	P4HB	0.117	1.245	0	0.681	0.681	curated	LGALS9_P4HB	LGALS9	P4HB	30
CPI-SS0E292C126	Th2	NK and gdT	KLRB1	CLEC2D	1.079	0.284	0	0.681	0.681	curated	KLRB1_CLEC2D	KLRB1	CLEC2D	37
CPI-SS0A84B95C5	Th2	CD163+CD16A+CCL18+ Monocytes	NR3C1	CCL2	0.806	0.551	0	0.679	0.679	InnateDB	NR3C1_CCL2	NR3C1	CCL2	15
CPI-SS0F3D40856	Th2	FCN1+VCAN+IL1Bhigh Monocytes	PGRMC2	CCL4L2	0.104	1.254	0	0.679	0.679	IMEx,IntAct	PGRMC2_CCL4L2	PGRMC2	CCL4L2	25
CPI-SS0C4E86714	Th2	Keratinocyte CCL2- Cluster3	TNFRSF1B	GRN	0.592	0.765	0	0.678	0.678	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS00B1BEE64	Th2	Keratinocyte CCL2- Cluster3	CD2	CD58	1.172	0.185	0	0.678	0.678	curated	CD2_CD58	CD2	CD58	29
CPI-SS00B1BEE64	Th2	Keratinocyte 7	CD2	CD58	1.172	0.176	0	0.674	0.674	curated	CD2_CD58	CD2	CD58	29
CPI-SS00B1BEE64	Th2	Fibroblast 6	CD2	CD58	1.172	0.175	0	0.673	0.673	curated	CD2_CD58	CD2	CD58	29
CPI-SS00B1BEE64	Th2	Keratinocyte CCL2+ Cluster3	CD2	CD58	1.172	0.175	0	0.673	0.673	curated	CD2_CD58	CD2	CD58	29
CPI-SS0735F5C3A	Th2	Keratinocyte 5	TIMP1	FGFR2	1.237	0.107	0	0.672	0.672	InnateDB-All	TIMP1_FGFR2	TIMP1	FGFR2	35
